Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1874.62527125417,1851.32055757767,1963.53680046189,2127.56690159395,2276.96833109088,2339.28519092229,2575.0505648752,2718.59046693813,2985.57959848279,3298.32093221435,3488.22090890723,3941.48257477806,4760.85143381892,6470.15797510819,6989.00048977555,7470.46078354376,7759.00875561532,8235.00580857388,9274.32273415878,10187.7966672405,11828.0652050747,12760.8519255709,11512.0918860392,12431.3049608089,11436.4475431564,11363.97745279,11627.7945298286,14262.3034211614,17810.6146201577,18221.1049942874,18840.6404411854,18594.6492836738,17661.6588703519,18083.1384996224,20364.249696919,21921.7798964759,23526.2866449399,21341.729647743,20537.4718378955,21666.9516807638,19496.6387106527,20062.2211406856,23445.1867600691,30449.6196474156,33995.8516729703,36100.558521619,40976.4521926747,49650.4175356324,42702.1982785315,51801.0489492732,62133.6107826902,67511.8249630025,67473.0337959731,61886.9587854566,,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2053.80812470636,2375.24111700412,2917.00717961481,3881.35088453534,4619.60247425541,5272.88822441891,5664.70739145566,6794.22463059566,8185.7021717148,9770.16598717045,10843.357341503,9362.64456216525,9387.67615137671,9514.43429609926,8969.40171617556,9149.99914451456,13051.5528522155,16353.2747565676,17536.2698233884,17426.8600046559,21628.7536265631,22356.921090449,24820.2285445525,24023.5150180941,25584.9187657315,30252.7946924041,29742.436971359,26646.8867693574,27289.632102852,27116.6720799312,24517.2651460415,24489.7377566869,26351.3814991077,32102.9263831301,36693.3995817902,38242.0500749095,40430.993614499,46586.6486029444,51386.3784114246,47654.1938696155,46593.3892166807,51130.9690458124,48348.2259628237,50513.385418198,51127.0761558121,,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.23749284959,676.15151145252,530.090379806798,436.19055858199,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.671250439944,763.101212220367,883.614008967961,1045.02641527642,1578.36733030667,2473.08577636837,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7393.77187697623,7811.6214184582,7884.19023556968,,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,71.4694334374862,73.7603276547671,78.8741608924455,86.5716236984791,51.6379367564512,52.4574885176544,55.1129068759763,55.2253855904549,56.0591138522018,70.2125072071903,72.0842713833349,69.5746444664999,84.9411349731773,95.2752739525489,114.492166738147,119.74667878605,143.130609651201,155.75823300567,194.706805552307,222.880939583415,228.559792788724,232.42352230036,241.350850951086,213.443448147937,240.875984498507,243.479064540293,221.564795867671,204.968272900861,204.414540995062,201.949143785129,203.033802432218,184.106198996212,156.342253386636,151.335510554556,161.101577891591,138.062807442629,152.741206971868,138.619149063048,123.45966674969,130.423848466059,128.19805828318,117.281401276207,108.014551028789,121.859303578301,143.783906126152,158.305023201892,162.827509358887,186.871748870089,194.896666129626,219.529799451387,246.914327107532,251.01452298564,267.109178730926,295.117855833717,,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.59476553194,1957.62608042762,2086.63600544654,2222.36151051913,2458.08182003773,2776.42487380848,3094.67420552105,3846.23240541953,4919.63311030286,5755.64580640589,6726.90476824479,7270.64555391197,8459.05541284299,10328.9701632401,11855.6053720148,12913.0065871804,10663.2678370953,9379.45593474759,8879.93437268439,8489.4879942744,8784.15601859145,12216.4005349153,15193.5189429283,16453.5363873551,16588.0125039677,20678.8519440566,21121.8183140291,23461.6678605014,22368.8285003478,24300.7853013218,28522.0745495474,27646.0485374074,24957.5575156103,25465.253257399,25391.7353289673,23151.9537440851,23078.4180600078,25006.7913546241,30702.5134923725,35547.5358635613,36927.9990776057,38936.3309077166,44449.6890600822,48561.3563991367,44999.2015813962,44360.9016865863,47801.5969046154,44818.045053451,46927.2489775851,47516.5211364088,,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,95.566922035481,94.4518743519273,99.8404447581465,104.323758928582,110.132611108649,112.973547109111,112.027640295714,117.02246277049,116.18850639076,114.736663558291,112.745518137271,135.008671813339,162.17494312758,174.170725548131,207.440589743143,208.760440105406,218.529290640826,263.631078085132,327.823149913559,377.95663605547,337.794506776766,322.478807311076,270.767092550073,252.435659758903,243.911509469758,302.665570345977,343.679165300176,345.809264951888,310.632725808427,391.893446787344,383.295362370352,315.21828680894,407.450188044792,276.15912106883,362.470949452067,382.285440637426,356.578260501566,375.024106515743,369.244974807324,339.47302569738,348.33454952624,378.658708432958,464.046143046103,511.292978882298,532.610998244811,557.232446904847,633.004563418502,739.245214296154,712.545407098296,690.002281084204,745.391867461346,750.513124247711,804.692437600295,825.226140972523,,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,71.5582093322122,76.5206268252379,78.3721187055042,80.4727351807135,81.7251312881945,82.5456368946943,84.3631491509386,84.7330649398879,86.5202424138862,81.4999421514281,84.287844467829,99.3267981275954,113.780507595989,124.358968684245,152.728145667727,155.648997960296,176.783312412316,225.941617941018,262.075891796203,282.685859596399,254.230853466816,245.094668199586,217.994691451055,193.843188807625,200.894292532044,256.762448311738,291.131856585114,313.061853631572,304.853367718606,351.979362800102,346.410442780194,240.963403226136,244.127150168696,193.070275634349,235.832244046072,249.364693804524,229.505254100774,255.738937355687,267.211596085376,226.801607824507,235.461801157472,260.693581088068,332.227083544101,371.217993361022,406.998837384044,422.84482523638,475.675602057883,570.930366627035,554.434807724532,577.850878791682,670.450233677038,678.36973618892,716.057754874345,720.048593221149,,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,94.5485570305955,96.967535778795,98.6743467846798,97.0405529571797,103.262133109501,109.092098615747,118.976239909954,118.960062783225,130.887076629273,135.618702228742,129.411780969835,91.4919170992648,115.654616166633,175.772007848517,268.399051892222,136.360935330575,126.94331832928,170.47919105916,194.237500359442,219.575608475631,239.480834354956,213.213024466113,196.638926401284,206.927386565285,236.281274002177,225.570645132911,247.450732389861,260.238603497813,265.58766684989,290.715998536046,281.599115348569,282.029715819427,288.661699965877,287.712433580347,316.508545949506,379.396588488978,386.123387458014,392.101805880382,394.489675903884,403.146026943999,400.738432504491,399.427543685864,432.219729278317,460.994286934842,485.156361206455,495.752931393976,543.585160101205,619.255921300055,685.455963604704,762.803739510009,841.52749547327,862.053927060554,957.82424355574,1096.56245063499,,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,2261.41712915731,2255.76116944755,2220.82321934829,1897.07860180343,1943.06257126384,1959.93870070963,2261.75772687619,3168.86518947175,2561.10870210636,2449.80080897103,2377.33589352945,1267.73437541485,1214.48497083268,1278.51723706586,1149.37806329125,1554.7218000814,1208.95216837851,1346.93679558227,1772.03420708875,1663.67670228101,1634.42465324938,1783.45484542102,2077.06398589677,2697.15736009393,3331.0909433945,3785.57447447914,4370.63907587244,5783.39921809111,7115.91182378972,6738.10035151938,6580.81387480713,7588.80894188031,7198.51846143873,7498.83148441441,7712.76391092975,,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,8537.59748485602,9269.14598373647,9446.15825317363,9421.45225545069,9590.77755985032,8706.82910949906,7041.42346254469,7554.51174561504,7957.79018662751,8029.98684908321,8528.75999414631,9057.72356645748,9088.57937363165,9707.2229163705,10138.1240882059,10376.3645268478,10525.9499332475,10628.0591939719,10013.8794311309,10330.8662294652,13562.7342254233,12846.4533731624,13149.3134641492,14344.9282637343,16027.3447487809,18155.894896277,19459.5233524013,21049.0016496295,23037.6364062644,19250.9167430578,20545.7484473559,22466.644452457,23338.7711482292,24694.7324202214,25198.059804363,,
